file_id,mz,i_magnitude,m,m_cal,ppm,nm,mf,dbe,c,h,n,o,p,s,oc,hc,nc,sc,kmd,s_n,dbe_o,n_occurrence,n_assignments_orig,bp,rel_int,sum_int,rel_sum_int,ai,ai_category,ai_mod,form,name,ai_mod_category
103-104-105,229.07175,39190668,230.0790263,230.07903816864,-0.0516,230,C10H14O6,4,10,14,0,6,0,0,0.6,1.4,0.0,0.0,0.1779,62.2,-2,20,1,3160410880,1.24004977479384,59870784570,0.0654587513450385,-0.5,other,0.25,CHO,ATL-1,other
103-104-105,245.06667,22229580,246.0739463,246.07395278821,-0.0264,246,C10H14O7,4,10,14,0,7,0,0,0.7,1.4,0.0,0.0,0.2008,33.5,-3,20,1,3160410880,0.70337626479757,59870784570,0.0371292612242446,-1.0,other,0.25,CHO,ATL-1,other
103-104-105,261.06157,6553069,262.0688463,262.06886740778,-0.0805,262,C10H14O8,4,10,14,0,8,0,0,0.8,1.4,0.0,0.0,0.2238,7.9,-4,12,1,3160410880,0.2073486406932,59870784570,0.0109453534759316,-2.0,other,0.25,CHO,ATL-1,other
103-104-105,212.09283,8248617,213.1001063,213.10010796616,-0.0078,213,C10H15NO4,4,10,15,1,4,0,0,0.4,1.5,0.1,0.0,0.1378,11.1,0,10,1,3160410880,0.260998247164622,59870784570,0.0137773658041108,-0.2,other,0.14285714285714285,CHNO,ATL-1,other
103-104-105,227.1037,10991717,228.1109763,228.11100700282,-0.1346,228,C10H16N2O4,4,10,16,2,4,0,0,0.4,1.6,0.2,0.0,0.1437,15.7,0,18,1,3160410880,0.347793923554649,59870784570,0.0183590662439852,-0.5,other,0.0,CHNO,ATL-1,other
103-104-105,243.09864,7511234,244.1059163,244.10592162239,-0.0218,244,C10H16N2O5,4,10,16,2,5,0,0,0.5,1.6,0.2,0.0,0.1667,9.7,-1,13,1,3160410880,0.237666375835284,59870784570,0.0125457417235246,-1.0,other,0.0,CHNO,ATL-1,other
103-104-105,215.09247,46659668,216.0997463,216.09977361353,-0.1264,216,C10H16O5,3,10,16,0,5,0,0,0.5,1.6,0.0,0.0,0.1416,74.7,-2,20,1,3160410880,1.47637980540049,59870784570,0.0779339511501578,-0.4,other,0.125,CHO,ATL-1,other
103-104-105,231.08739,24781954,232.0946663,232.0946882331,-0.0945,232,C10H16O6,3,10,16,0,6,0,0,0.6,1.6,0.0,0.0,0.1645,38.3,-3,20,1,3160410880,0.784137092959255,59870784570,0.0413923989438043,-0.75,other,0.125,CHO,ATL-1,other
103-104-105,247.08229,10796820,248.0895663,248.08960285267,-0.1473,248,C10H16O7,3,10,16,0,7,0,0,0.7,1.6,0.0,0.0,0.1875,14.9,-4,18,1,3160410880,0.341627098815708,59870784570,0.0180335368536494,-1.3333333333333333,other,0.125,CHO,ATL-1,other
103-104-105,263.07719,9373249,264.0844663,264.08451747224,-0.1938,264,C10H16O8,3,10,16,0,8,0,0,0.8,1.6,0.0,0.0,0.2104,12.3,-5,17,1,3160410880,0.296583240467771,59870784570,0.0156557978441738,-2.5,other,0.125,CHO,ATL-1,other
103-104-105,214.10849,9270724,215.1157663,215.11575803062,0.0384,215,C10H17NO4,3,10,17,1,4,0,0,0.4,1.7,0.1,0.0,0.1244,12.8,-1,17,1,3160410880,0.293339200249811,59870784570,0.0154845540551766,-0.4,other,0.0,CHNO,ATL-1,other
103-104-105,230.10338,10475113,231.1106563,231.11067265019,-0.0707,231,C10H17NO5,3,10,17,1,5,0,0,0.5,1.7,0.1,0.0,0.1474,14.7,-2,19,1,3160410880,0.33144782111369,59870784570,0.0174962013196147,-0.75,other,0.0,CHNO,ATL-1,other
103-104-105,245.11427,22328230,246.1215463,246.12157168685,-0.1031,246,C10H18N2O5,3,10,18,2,5,0,0,0.5,1.8,0.2,0.0,0.1533,33.7,-2,16,1,3160410880,0.706497694375739,59870784570,0.037294032741285,-1.3333333333333333,other,-0.16666666666666666,CHNO,ATL-1,other
103-104-105,297.08277,9013923,298.0900463,298.08999677584,0.1661,298,C10H18O10,2,10,18,0,10,0,0,1.0,1.8,0.0,0.0,0.2428,11.0,-8,1,1,3160410880,0.285213642853932,59870784570,0.0150556286588512,-inf,other,0.0,CHO,ATL-1,other
103-104-105,217.10813,29299636,218.1154063,218.11542367799,-0.0797,218,C10H18O5,2,10,18,0,5,0,0,0.5,1.8,0.0,0.0,0.1281,46.0,-3,20,1,3160410880,0.927083126609158,59870784570,0.0489381193355556,-0.6,other,0.0,CHO,ATL-1,other
103-104-105,233.10306,14929386,234.1103363,234.11033829756,-0.0085,234,C10H18O6,2,10,18,0,6,0,0,0.6,1.8,0.0,0.0,0.1511,22.0,-4,20,1,3160410880,0.472387501716233,59870784570,0.0249360119584616,-1.0,other,0.0,CHO,ATL-1,other
103-104-105,216.12409,6741331,217.1313663,217.13140809508,-0.1925,217,C10H19NO4,2,10,19,1,4,0,0,0.4,1.9,0.1,0.0,0.1111,8.6,-2,12,1,3160410880,0.213305524375362,59870784570,0.0112598006664137,-0.6,other,-0.14285714285714285,CHNO,ATL-1,other
103-104-105,203.12888,7000050,204.1361563,204.13615912288,-0.0138,204,C10H20O4,1,10,20,0,4,0,0,0.4,2.0,0.0,0.0,0.0918,9.1,-3,14,1,3160410880,0.221491770082756,59870784570,0.0116919296285748,-0.5,other,-0.125,CHO,ATL-1,other
103-104-105,234.98842,7348691,235.9956963,235.99570246591,-0.0261,236,C10H4O7,9,10,4,0,7,0,0,0.7,0.4,0.0,0.0,0.2678,9.5,2,19,1,3160410880,0.232523278745326,59870784570,0.0122742520459341,0.6666666666666666,aromatic,0.875,CHO,ATL-1,condensed
103-104-105,234.00439,6985323,235.0116663,235.011686883,-0.0876,235,C10H5NO6,9,10,5,1,6,0,0,0.6,0.5,0.1,0.0,0.2507,8.9,3,8,1,3160410880,0.221025786368638,59870784570,0.0116673316546117,0.6666666666666666,aromatic,0.8571428571428571,CHNO,ATL-1,condensed
103-104-105,205.01422,10530565,206.0214963,206.02152329123,-0.131,206,C10H6O5,8,10,6,0,5,0,0,0.5,0.6,0.0,0.0,0.2085,14.9,3,20,1,3160410880,0.333202403100194,59870784570,0.0175888207840133,0.6,aromatic,0.75,CHO,ATL-1,condensed
103-104-105,221.00914,18185766,222.0164163,222.0164379108,-0.0973,222,C10H6O6,8,10,6,0,6,0,0,0.6,0.6,0.0,0.0,0.2315,27.6,2,20,1,3160410880,0.575424104349369,59870784570,0.0303750253660656,0.5,aromatic,0.75,CHO,ATL-1,condensed
103-104-105,237.0041,10329226,238.0113763,238.01135253037,0.0999,238,C10H6O7,8,10,6,0,7,0,0,0.7,0.6,0.0,0.0,0.2544,14.4,1,20,1,3160410880,0.326831744105374,59870784570,0.0172525315547239,0.3333333333333333,other,0.75,CHO,ATL-1,condensed
103-104-105,252.99898,36730620,254.0062563,254.00626714994,-0.0427,254,C10H6O8,8,10,6,0,8,0,0,0.8,0.6,0.0,0.0,0.2774,56.3,0,18,1,3160410880,1.16221027564618,59870784570,0.0613498223946859,0.0,other,0.75,CHO,ATL-1,condensed
103-104-105,220.02514,10848905,221.0324163,221.03242232789,-0.0273,221,C10H7NO5,8,10,7,1,5,0,0,0.5,0.7,0.1,0.0,0.2144,15.4,3,17,1,3160410880,0.34327514402178,59870784570,0.0181205325400666,0.5,aromatic,0.7142857142857143,CHNO,ATL-1,condensed
103-104-105,236.02003,8058949,237.0273063,237.02733694746,-0.1293,237,C10H7NO6,8,10,7,1,6,0,0,0.6,0.7,0.1,0.0,0.2374,10.7,2,16,1,3160410880,0.254996875596125,59870784570,0.0134605702228231,0.3333333333333333,other,0.7142857142857143,CHNO,ATL-1,condensed
103-104-105,219.04111,6726972,220.0483863,220.04840674498,-0.0929,220,C10H8N2O4,8,10,8,2,4,0,0,0.4,0.8,0.2,0.0,0.1973,8.6,4,8,1,3160410880,0.212851184716843,59870784570,0.0112358173495036,0.5,aromatic,0.6666666666666666,CHNO,ATL-1,aromatic
103-104-105,207.02989,15551608,208.0371663,208.03717335569,-0.0339,208,C10H8O5,7,10,8,0,5,0,0,0.5,0.8,0.0,0.0,0.1951,23.2,2,20,1,3160410880,0.492075511396797,59870784570,0.0259752867975486,0.4,other,0.625,CHO,ATL-1,aromatic
103-104-105,223.02479,26087432,224.0320663,224.03208797526,-0.0968,224,C10H8O6,7,10,8,0,6,0,0,0.6,0.8,0.0,0.0,0.2181,40.7,1,20,1,3160410880,0.825444316911097,59870784570,0.0435728914985221,0.25,other,0.625,CHO,ATL-1,aromatic
103-104-105,239.01971,16649017,240.0269863,240.02700259483,-0.0679,240,C10H8O7,7,10,8,0,7,0,0,0.7,0.8,0.0,0.0,0.241,24.6,0,20,1,3160410880,0.526799129358775,59870784570,0.0278082492480689,0.0,other,0.625,CHO,ATL-1,aromatic
103-104-105,206.04584,9016296,207.0531163,207.05315777278,-0.2003,207,C10H9NO4,7,10,9,1,4,0,0,0.4,0.9,0.1,0.0,0.1781,12.4,3,15,1,3160410880,0.285288728027667,59870784570,0.0150595921946843,0.4,other,0.5714285714285714,CHNO,ATL-1,aromatic
103-104-105,222.04077,14488860,223.0480463,223.04807239235,-0.117,223,C10H9NO5,7,10,9,1,5,0,0,0.5,0.9,0.1,0.0,0.201,21.5,2,20,1,3160410880,0.458448617921477,59870784570,0.0242002173582006,0.25,other,0.5714285714285714,CHNO,ATL-1,aromatic
103-104-105,238.03569,12614942,239.0429663,239.04298701192,-0.0866,239,C10H9NO6,7,10,9,1,6,0,0,0.6,0.9,0.1,0.0,0.224,18.1,1,19,1,3160410880,0.399155125045007,59870784570,0.021070280088364,0.0,other,0.5714285714285714,CHNO,ATL-1,aromatic
103-104-105,233.05675,8558458,234.0640263,234.06405680944,-0.1303,234,C11H10N2O4,8,11,10,2,4,0,0,0.364,0.909,0.1818,0.0,0.1973,11.6,4,13,1,3160410880,0.270802067356508,59870784570,0.0142948819887162,0.4,other,0.5714285714285714,CHNO,ATL-1,aromatic
103-104-105,249.05169,9015761,250.0589663,250.05897142901,-0.0205,250,C11H10N2O5,8,11,10,2,5,0,0,0.455,0.909,0.1818,0.0,0.2203,12.0,3,18,1,3160410880,0.285271799849012,59870784570,0.0150586986035884,0.25,other,0.5714285714285714,CHNO,ATL-1,aromatic
103-104-105,265.0466,9540570,266.0538763,266.05388604858,-0.0366,266,C11H10N2O6,8,11,10,2,6,0,0,0.545,0.909,0.1818,0.0,0.2432,12.6,2,12,1,3160410880,0.301877520431774,59870784570,0.0159352680418699,0.0,other,0.5714285714285714,CHNO,ATL-1,aromatic
103-104-105,205.05062,19427492,206.0578963,206.05790880058,-0.0607,206,C11H10O4,7,11,10,0,4,0,0,0.364,0.909,0.0,0.0,0.1722,29.6,3,20,1,3160410880,0.614714122234638,59870784570,0.0324490352674194,0.42857142857142855,other,0.5555555555555556,CHO,ATL-1,aromatic
103-104-105,221.04552,27325608,222.0527963,222.05282342015,-0.1221,222,C11H10O5,7,11,10,0,5,0,0,0.455,0.909,0.0,0.0,0.1951,42.7,2,20,1,3160410880,0.86462200762959,59870784570,0.0456409719636316,0.3333333333333333,other,0.5555555555555556,CHO,ATL-1,aromatic
103-104-105,237.04044,32798012,238.0477163,238.04773803972,-0.0913,238,C11H10O6,7,11,10,0,6,0,0,0.545,0.909,0.0,0.0,0.2181,51.1,1,20,1,3160410880,1.03777683489053,59870784570,0.0547813298849509,0.2,other,0.5555555555555556,CHO,ATL-1,aromatic
103-104-105,253.03533,18475340,254.0426063,254.04265265929,-0.1825,254,C11H10O7,7,11,10,0,7,0,0,0.636,0.909,0.0,0.0,0.2411,27.1,0,20,2,3160410880,0.584586647164055,59870784570,0.0308586903156395,0.0,other,0.5555555555555556,CHO,ATL-1,aromatic
103-104-105,269.03029,18571238,270.0375663,270.03756727886,-0.0036,270,C11H10O8,7,11,10,0,8,0,0,0.727,0.909,0.0,0.0,0.264,26.7,-1,20,1,3160410880,0.587620999456881,59870784570,0.0310188652668929,-0.3333333333333333,other,0.5555555555555556,CHO,ATL-1,aromatic
103-104-105,220.0615,14253961,221.0687763,221.06880783724,-0.1427,221,C11H11NO4,7,11,11,1,4,0,0,0.364,1.0,0.0909,0.0,0.1781,21.1,3,20,1,3160410880,0.451016071682426,59870784570,0.0238078740781065,0.3333333333333333,other,0.5,CHNO,ATL-1,aromatic
103-104-105,236.05643,16040499,237.0637063,237.06372245681,-0.0682,237,C11H11NO5,7,11,11,1,5,0,0,0.455,1.0,0.0909,0.0,0.201,23.8,2,20,1,3160410880,0.507544734183424,59870784570,0.0267918637031484,0.2,other,0.5,CHNO,ATL-1,aromatic
103-104-105,252.05135,15472553,253.0586263,253.05863707638,-0.0426,253,C11H11NO6,7,11,11,1,6,0,0,0.545,1.0,0.0909,0.0,0.2239,22.4,1,20,1,3160410880,0.489574096137778,59870784570,0.0258432440983126,0.0,other,0.5,CHNO,ATL-1,aromatic
103-104-105,268.04627,12623098,269.0535463,269.05355169595,-0.0201,269,C11H11NO7,7,11,11,1,7,0,0,0.636,1.0,0.0909,0.0,0.2469,17.4,0,18,1,3160410880,0.399413192755494,59870784570,0.0210839027593521,-0.3333333333333333,other,0.5,CHNO,ATL-1,aromatic
103-104-105,235.07242,8190135,236.0796963,236.0797068739,-0.0448,236,C11H12N2O4,7,11,12,2,4,0,0,0.364,1.091,0.1818,0.0,0.1839,10.9,3,20,1,3160410880,0.259147791568165,59870784570,0.0136796854406079,0.2,other,0.42857142857142855,CHNO,ATL-1,other
103-104-105,251.06733,10257837,252.0746063,252.07462149347,-0.0603,252,C11H12N2O5,7,11,12,2,5,0,0,0.455,1.091,0.1818,0.0,0.2069,14.0,2,19,1,3160410880,0.324572892243682,59870784570,0.017133293097248,0.0,other,0.42857142857142855,CHNO,ATL-1,other
103-104-105,267.06224,8767762,268.0695163,268.06953611304,-0.0739,268,C11H12N2O6,7,11,12,2,6,0,0,0.545,1.091,0.1818,0.0,0.2298,11.3,1,18,1,3160410880,0.277424750543828,59870784570,0.0146444748686212,-0.3333333333333333,other,0.42857142857142855,CHNO,ATL-1,other
103-104-105,207.06626,27565762,208.0735363,208.07355886504,-0.1084,208,C11H12O4,6,11,12,0,4,0,0,0.364,1.091,0.0,0.0,0.1588,43.1,2,20,1,3160410880,0.872220829716926,59870784570,0.0460420924796309,0.2857142857142857,other,0.4444444444444444,CHO,ATL-1,other
103-104-105,223.06117,39070096,224.0684463,224.06847348461,-0.1213,224,C11H12O5,6,11,12,0,5,0,0,0.455,1.091,0.0,0.0,0.1818,62.1,1,20,1,3160410880,1.23623470122973,59870784570,0.0652573643064922,0.16666666666666666,other,0.4444444444444444,CHO,ATL-1,other
103-104-105,239.0561,33733488,240.0633763,240.06338810418,-0.0492,240,C11H12O6,6,11,12,0,6,0,0,0.545,1.091,0.0,0.0,0.2047,52.5,0,20,1,3160410880,1.06737665705036,59870784570,0.0563438215187565,0.0,other,0.4444444444444444,CHO,ATL-1,other
103-104-105,255.051,28524914,256.0582763,256.05830272375,-0.1032,256,C11H12O7,6,11,12,0,7,0,0,0.636,1.091,0.0,0.0,0.2276,43.2,-1,20,1,3160410880,0.902569794975519,59870784570,0.0476441292775262,-0.25,other,0.4444444444444444,CHO,ATL-1,other
103-104-105,271.04593,24354358,272.0532063,272.05321734332,-0.0406,272,C11H12O8,6,11,12,0,8,0,0,0.727,1.091,0.0,0.0,0.2506,35.7,-2,20,1,3160410880,0.770607333183209,59870784570,0.040678200853582,-0.6666666666666666,other,0.4444444444444444,CHO,ATL-1,other
103-104-105,287.04083,9483564,288.0481063,288.04813196289,-0.0891,288,C11H12O9,6,11,12,0,9,0,0,0.818,1.091,0.0,0.0,0.2735,12.0,-3,13,2,3160410880,0.300073767623531,59870784570,0.0158400529876337,-1.5,other,0.4444444444444444,CHO,ATL-1,other
103-104-105,222.07716,15305728,223.0844363,223.0844579017,-0.0968,223,C11H13NO4,6,11,13,1,4,0,0,0.364,1.182,0.0909,0.0,0.1647,22.8,2,20,1,3160410880,0.484295510335669,59870784570,0.025564602351427,0.16666666666666666,other,0.375,CHNO,ATL-1,other
103-104-105,238.07208,16779346,239.0793563,239.07937252127,-0.0678,239,C11H13NO5,6,11,13,1,5,0,0,0.455,1.182,0.0909,0.0,0.1876,24.9,1,20,1,3160410880,0.530922928603511,59870784570,0.0280259330498364,0.0,other,0.375,CHNO,ATL-1,other
103-104-105,254.06698,13472132,255.0742563,255.07428714084,-0.1209,255,C11H13NO6,6,11,13,1,6,0,0,0.545,1.182,0.0909,0.0,0.2106,19.1,0,20,1,3160410880,0.426277864225047,59870784570,0.0225020134557425,-0.25,other,0.375,CHNO,ATL-1,other
103-104-105,270.06189,12218444,271.0691663,271.06920176041,-0.1308,271,C11H13NO7,6,11,13,1,7,0,0,0.636,1.182,0.0909,0.0,0.2335,16.7,-1,19,2,3160410880,0.386609351249924,59870784570,0.0204080238596412,-0.6666666666666666,other,0.375,CHNO,ATL-1,other
103-104-105,286.05684,6887930,287.0641163,287.06411637998,-0.0003,287,C11H13NO8,6,11,13,1,8,0,0,0.727,1.182,0.0909,0.0,0.2564,8.1,-2,5,1,3160410880,0.217944130099944,59870784570,0.0115046596590809,-1.5,other,0.375,CHNO,ATL-1,other
